geoid,st_name,st_abbr,co_name,farmLandAc,1995,2000,2001,2003,2004,2005,2010,2015
17001,Illinois,IL,Adams,388605,64840.7,75245.7,78757.2,79307.9,6527.5,81158.4,77503.5,84721
17003,Illinois,IL,Alexander,62404,6742.4,10942.2,9689.3,12904.3,773.3,11998.3,6366.1,9299.5
17005,Illinois,IL,Bond,198353,44502.1,35574.5,37801.2,41902.2,3988.9,37530.4,38400.5,29562.3
17007,Illinois,IL,Boone,134751,24581.3,28848.4,19983.9,26062,1811.6,30710.6,23112.2,19237.4
17009,Illinois,IL,Brown,137499,21746.1,26659,26475.4,27578.2,2145.3,30403,20878.1,23145.2
17011,Illinois,IL,Bureau,449950,138280.5,100515.6,103808.4,122517.5,4878.7,120977.2,119684.3,82132.8
17013,Illinois,IL,Calhoun,87722,13674.6,13172.9,10661.6,13636.5,1120.5,11960.8,11925.9,8645.9
17015,Illinois,IL,Carroll,256356,75257.1,54581.3,56462.9,63548,2554.7,58948.4,56619.1,47014.2
17017,Illinois,IL,Cass,182554,46936.6,49630.5,53247.1,60637.6,2984,51084.1,46490,40683.1
17019,Illinois,IL,Champaign,616429,92059.8,119140.5,116213.6,116381.7,9275.7,141321.6,101799.8,96443.3
17021,Illinois,IL,Christian,373643,101411.4,119179.3,126351.8,139036.3,7900.1,120133.8,117005.9,83449.3
17023,Illinois,IL,Clark,266676,56634.5,74630.3,69399.7,72648.7,2371.7,68657.2,39343.7,42112.5
17025,Illinois,IL,Clay,270355,29529.8,45932.6,51927.4,43232.1,2231.8,53405.8,31380.1,37651.4
17027,Illinois,IL,Clinton,285501,38439.3,60598.6,63791,82603.7,3094,85345.7,63053.6,84622.1
17029,Illinois,IL,Coles,266749,67826.4,83047.1,77803,81430.9,2617.5,77032.8,48590.9,56269.8
17031,Illinois,IL,Cook,8467,4071.4,3062,3096,1861.1,206,2261.4,1197.2,1168.6
17033,Illinois,IL,Crawford,214931,45817.2,55776.4,54874.7,59696.3,2057.4,58194.7,36181.6,39516.1
17035,Illinois,IL,Cumberland,170079,35982.3,49674.6,47791.8,53338,1703.9,48836.9,28978.9,32535.6
17037,Illinois,IL,DeKalb,397605,69635.7,73060.1,62199.9,75202.6,4334.8,85813.5,67297.3,63053.7
17039,Illinois,IL,De Witt,195402,27533.8,45983.8,42628.2,45594.4,5044.8,47577.7,37867.1,46999
17041,Illinois,IL,Douglas,262932,71119.5,86912.5,81528.6,84450.5,2700.7,87125.2,46946.8,54122.3
17043,Illinois,IL,DuPage,7336,2426.8,1757.8,1881.5,1113.2,92.6,1141.1,753.9,543.9
17045,Illinois,IL,Edgar,351485,89274.4,115810.1,107191.4,112769.4,3517.1,111942.8,70592,78543.7
17047,Illinois,IL,Edwards,106761,10335.6,17919.9,20889.1,14616.2,2913.7,22393.6,13973.4,14290
17049,Illinois,IL,Effingham,287113,51153,61841.7,59714.7,64474.3,2319.3,61869.9,36245.7,42179
17051,Illinois,IL,Fayette,303102,50983,69492,69177.4,70348.6,3060.2,75679.3,51581.8,51606.8
17053,Illinois,IL,Ford,308303,44508.3,62168.1,58294.5,60081.1,4706.1,71650.6,54936.4,48947.3
17055,Illinois,IL,Franklin,181351,12427.3,19558.8,24504.5,16187,4747.1,29152.7,13622.8,13733.9
17057,Illinois,IL,Fulton,355101,83598.9,84950.3,76298.1,85533,6721.3,86731.1,74373.9,70787.5
17059,Illinois,IL,Gallatin,186295,22125.1,42881.7,42348.7,33072.8,5104.5,42487.3,21497.4,24654.2
17061,Illinois,IL,Greene,290189,51790.7,67943.8,75162.3,85576.1,4607.7,65110.7,64324.5,47779
17063,Illinois,IL,Grundy,217004,36329.7,40022.7,34279.3,42538.8,2619.5,45825.3,32089.1,29306.5
17065,Illinois,IL,Hamilton,223383,12112,29047.8,38140.8,24763.2,5849.7,42941.6,21474.8,24606.6
17067,Illinois,IL,Hancock,386068,84525.7,90146.5,85932.9,91915.1,7478.1,95266.8,83233.1,89309.5
17069,Illinois,IL,Hardin,33169,786.4,807.9,1031.6,605.9,264.4,973.9,1122.9,1335
17071,Illinois,IL,Henderson,171674,57599,54512.8,47242.4,58440.3,3489.8,55441,48301.7,52476.8
17073,Illinois,IL,Henry,479313,127969.9,88995,90924.1,104234,4659.1,98754.5,95834.7,72596
17075,Illinois,IL,Iroquois,669304,99542.4,137204.2,128194.9,138969.2,10461.4,167564.6,124294,116653.3
17077,Illinois,IL,Jackson,214191,20221.2,25119.8,30329.6,37667.9,1909,30714.9,26880.1,36793.7
17079,Illinois,IL,Jasper,250660,50437.5,67278.7,65467.4,68948.3,2552.5,65733.8,41229.6,48100.1
17081,Illinois,IL,Jefferson,213845,9203,22810.8,26842.2,16853.9,5505.7,34198.1,18643.9,18044.2
17083,Illinois,IL,Jersey,155511,31020,39574.8,41500.4,45098,3002.8,40732.7,36400.4,26498.8
17085,Illinois,IL,Jo Daviess,271513,48018.7,33821.6,32810.2,37546,2690.8,34804.5,40345.4,32559.6
17087,Illinois,IL,Johnson,89804,6417.6,7226.1,7120.7,5989.5,452.8,7380.3,5196.1,6855.2
17089,Illinois,IL,Kane,168450,33448.1,33453.5,28323.8,32620,2337.7,36365.2,26213,21120.2
17091,Illinois,IL,Kankakee,342511,58975.9,79982.8,76480.4,79287.2,5713.5,95909.7,71298.9,63635.1
17093,Illinois,IL,Kendall,129740,29117.3,30313.6,25249.4,28894.4,2102,31677.5,24933.8,23704.9
17095,Illinois,IL,Knox,347547,94793.7,90077,83700.9,92445,6650.9,94092.4,85839.8,86430.2
17097,Illinois,IL,Lake,30120,6268.8,5139.2,4968.9,4192.9,460.8,5008.3,2553,2214.8
17099,Illinois,IL,LaSalle,602258,97990.9,102495.7,90023.8,112386.5,7204,123944.5,99960.4,81311.6
17101,Illinois,IL,Lawrence,184124,44289.3,53178.7,53663.2,48171.4,1816.7,52732.2,32053,34782.2
17103,Illinois,IL,Lee,368800,120263.6,86759.4,91334.2,106832.8,4188.3,108986.1,108748.1,81414.5
17105,Illinois,IL,Livingston,656276,92856.7,124403.9,120963.3,121556.2,9787.5,149534.8,110328.8,102124.4
17107,Illinois,IL,Logan,363120,49515.1,83400.6,78120.4,81874.6,8324.2,89379.5,71672.9,86193
17109,Illinois,IL,McDonough,291969,80760.4,81066.3,79442.7,80748,6356.7,86222.5,71438.1,81203.1
17111,Illinois,IL,McHenry,234339,38778.2,38640.9,32566.4,36842.5,2842.5,39458.4,30673.6,26921.3
17113,Illinois,IL,McLean,692148,89798.8,152909.6,136760.3,141551.2,15063.3,157072.7,122099.7,140019.3
17115,Illinois,IL,Macon,336705,39792.3,69986.6,62247.3,64267.5,7200.5,73087.9,59489.2,68072.4
17117,Illinois,IL,Macoupin,438501,91091.1,103789.6,112200.4,124780.7,7400.8,110977.3,115668,77541.3
17119,Illinois,IL,Madison,306919,49684.7,60225.1,73647.1,68162,5877.9,61440.7,60178.7,47002
17121,Illinois,IL,Marion,266681,30875.8,44360.5,47342,43704.4,2141.1,50831.4,31830.8,36433.3
17123,Illinois,IL,Marshall,209177,26780.9,44850.3,40105.9,43324.3,4362,46805,38943.8,43937.5
17125,Illinois,IL,Mason,289894,33179.8,53910.9,52160.1,58935.8,5650.4,61223.6,42577.5,58659.3
17127,Illinois,IL,Massac,102174,7419.1,13694,15036.7,9634.7,2131.5,15797.8,7639.8,9272.4
17129,Illinois,IL,Menard,157772,21512,38311.3,34604.8,35711.3,3896.1,37672,28023.9,35314.6
17131,Illinois,IL,Mercer,252136,68351.5,51823.3,50909,64267.5,2989.3,58070.1,54503.9,43786
17133,Illinois,IL,Monroe,193190,24754.4,36368.7,45593.9,58103.5,2199.5,49505.5,36104.4,45237.6
17135,Illinois,IL,Montgomery,382355,78083.7,93774.6,100105.9,109423.7,7118.7,94393.5,96170.2,66759.3
17137,Illinois,IL,Morgan,309065,69715.4,79123.7,81555.9,90000,5523.4,80122.2,79565.6,59282.9
17139,Illinois,IL,Moultrie,204898,49797.4,59457.1,58643,63170.7,1892.4,62956.4,37863.2,40889.5
17141,Illinois,IL,Ogle,376254,115850.4,81367.9,84957.2,98240,4068.1,92134.1,98200.4,75259.8
17143,Illinois,IL,Peoria,249865,31262,48816.1,48173.5,53220.3,5067.1,53253.6,40933.5,47498.1
17145,Illinois,IL,Perry,180667,26380.7,35895.2,37228.1,43447.5,2231.6,52922.4,33711.9,44546.7
17147,Illinois,IL,Piatt,259145,41244.8,55249.4,51993.6,54147.7,4254.9,67064.8,51927.8,47741.3
17149,Illinois,IL,Pike,411310,66685.6,92015.2,98692.4,102692.4,5672.8,91426.2,89127.9,70442.2
17151,Illinois,IL,Pope,77884,2328,4172.2,3936.2,2322.5,581.7,3559.8,2580.8,2677
